BO,AO
0.44128459825373817,0.4414395305263904
0.4398706210894695,0.4400254533884823
0.43969387394393594,0.43984869374624386
0.4411078511082046,0.44126277088415194
0.44128459825373817,0.4414395305263904
0.44163809254480574,0.44179304981086737
0.44163809254480574,0.44179304981086737
0.44243345469970663,0.4425000883798212
0.4419032132631059,0.4419698094531058
0.4434055640001415,0.44347226641213294
0.44393580543674227,0.44400254533884836
0.44490791473717717,0.4449747233711601
0.4426985754180072,0.4427652278431787
0.44234508112694004,0.44241170855870177
0.44305206970907435,0.44426768480220585
0.43875711407260803,0.43891186764238
0.4419385626922129,0.44209354120267275
0.4399059705185761,0.44006080531693026
0.440966453391778,0.44112136317036105
0.4426985754180072,0.44285360766429815
0.44234508112694004,0.4425000883798212
0.44322881685460797,0.4433838865910135
0.44128459825373817,0.4414395305263904
0.4398706210894695,0.4400254533884823
0.4418148396903393,0.4419698094531058
0.4411078511082046,0.44126277088415194
0.43792640248860015,0.4380810973238592
0.43792640248860015,0.4380810973238592
0.43827989677966733,0.4384346166083361
0.4375729081975326,0.4377275780393823
0.4385450174979675,0.43869975607169365
0.4407543568171374,0.4408208717785556
0.4426102018452402,0.44267684802205964
0.44305206970907435,0.44311874712765603
0.44428929972780945,0.4443560646233253
0.44234508112694004,0.44241170855870177
0.4425218282724736,0.4425884682009402
0.4426985754180072,0.4427652278431787
0.4488847255116833,0.4489518153215257
0.4472763264873272,0.4473433025771556
0.44764749549294786,0.4477144978258565
0.4478242426384814,0.44789125746809494
0.44764749549294786,0.4477144978258565
0.4435823111456751,0.44373740587549043
0.4477005196366079,0.447767525718528
0.444695818162537,0.4447626118004737
0.4450493124536042,0.44511613108495063
0.44717027820000715,0.4472372467918122
0.44593304818127205,0.44599992929614296
0.4473470253455407,0.44741400643405105
0.46095655555162796,0.46102449888641445
0.4604263141150272,0.460494219959699
0.4598960726784261,0.4599639410329832
0.46095655555162796,0.46102449888641445
0.4595425783873589,0.4596104217485063
0.4581639506521972,0.4582316965390461
0.45639647919686105,0.4564641001166615
0.45781045636113005,0.4578781772545692
0.45798720350666366,0.45805493689680765
0.4595779278164659,0.45964577367695425
0.45878256566156456,0.45885035528688095
0.45878256566156456,0.45885035528688095
0.45984304853476643,0.45991091314031174
0.45936583124182573,0.45943366210626785
0.45583088833115376,0.4558984692614982
0.45600763547668693,0.45607522890373664
0.45689137120435525,0.45695902711492936
0.4570681183498888,0.4571357867571678
0.45742161264095593,0.4574893060416447
0.4579518540775567,0.45801958496835976
0.4589593128070981,0.45911549475023883
0.45807557707943025,0.4582316965390461
0.45736858849729595,0.4575246579700923
